MSSubClass;MSZoning;LotArea;LotConfig;Neighborhood;YearBuilt;TotalBsmtSF;GrLivArea;FullBath;KitchenAbvGr;TotRmsAbvGrd;GarageArea;YrSold;SalePrice
20;RL;10335;Inside;Sawyer;1968;1461;1721;2;1;7;440;2006;180000
20;RL;10400;Inside;NWAmes;1970;1304;1682;2;1;7;530;2008;174000
20;RL;10355;Corner;NAmes;1967;1214;1214;2;1;5;318;2007;143000
90;RL;11070;Inside;Mitchel;1988;1907;1959;3;2;9;766;2006;171000
60;RL;9066;Inside;CollgCr;1999;1004;1852;2;1;7;660;2008;230000
60;RL;15426;Inside;CollgCr;1997;928;1764;2;1;7;470;2009;231500
20;RL;10500;FR2;NAmes;1971;864;864;1;1;5;0;2010;115000
20;RL;11645;Inside;CollgCr;2005;1734;1734;2;1;7;660;2006;260000
50;RL;8520;Corner;NAmes;1952;910;1385;2;1;6;720;2010;166000
20;RL;10335;Inside;CollgCr;1999;1490;1501;2;1;6;577;2009;204000
90;RM;9100;Inside;Sawyer;1963;1728;1728;2;2;10;504;2006;125000
160;RM;2522;Inside;Edwards;2004;970;1709;2;1;7;380;2006;130000
30;RM;6120;Corner;BrkSide;1931;715;875;1;1;5;180;2009;105000
60;RL;9505;CulDSac;Gilbert;2001;884;2035;2;1;8;434;2010;222500
20;RL;7500;Inside;SawyerW;2004;1080;1080;1;1;6;0;2008;141000
50;RM;6240;Inside;BrkSide;1936;896;1344;1;1;7;240;2006;115000
20;RL;10356;Corner;CollgCr;1975;969;969;1;1;5;440;2007;122000
20;RL;13891;Inside;NridgHt;2007;1710;1710;2;1;6;866;2008;372402
60;RL;14803;CulDSac;NWAmes;1971;825;1993;2;1;8;495;2006;190000
20;RL;13500;Inside;ClearCr;1960;1602;1252;1;1;4;564;2008;235000
30;RM;11340;Corner;OldTown;1923;1200;1200;1;1;7;312;2006;125000
50;RL;9600;Corner;Edwards;1924;572;1096;1;1;5;0;2008;79000
20;RL;7200;Inside;NAmes;1950;0;1040;1;1;5;625;2006;109500
60;RL;12003;Corner;Timber;2009;774;1968;2;1;8;680;2010;269500
60;FV;12552;Corner;Somerst;2004;991;1947;2;1;8;678;2010;254900
60;RL;19378;Corner;Gilbert;2005;1392;2462;2;1;9;576;2006;320000
20;RL;11120;CulDSac;Veenker;1984;1232;1232;2;1;6;516;2008;162500
60;RL;13688;Inside;NridgHt;2003;1572;2668;2;1;10;726;2008;412500
20;RL;12182;Corner;NridgHt;2005;1541;1541;2;1;7;532;2010;220000
45;RL;5500;Inside;OldTown;1956;882;882;1;1;4;0;2007;103200
40;RM;5400;Corner;OldTown;1926;1149;1616;2;1;5;216;2007;152000
190;RL;10106;Inside;Edwards;1940;644;1355;2;2;6;0;2008;127500
20;RL;10708;Inside;ClearCr;1955;1617;1867;1;1;7;303;2009;190000
60;RL;10562;Inside;NridgHt;2007;1582;2161;1;1;8;789;2007;325624
60;RL;8244;Inside;Gilbert;2004;840;1720;2;1;7;440;2007;183500
20;RL;16669;Corner;Timber;1981;1686;1707;2;1;6;511;2006;228000
50;RM;12358;Inside;OldTown;1941;720;1382;1;1;7;660;2007;128500
20;RL;31770;Corner;NAmes;1960;1080;1656;1;1;7;528;2010;215000
160;RL;5306;Inside;StoneBr;1987;1064;1767;2;1;5;504;2006;239000
20;RL;10197;Inside;NAmes;1961;1362;1362;1;1;6;504;2008;163000
20;RL;12416;Inside;Timber;1986;1606;1651;2;1;7;616;2008;184000
20;RL;12615;Corner;Edwards;1950;1202;2158;2;1;7;576;2007;243000
60;RL;10029;Corner;ClearCr;1988;1151;2060;2;1;8;521;2007;211000
50;RL;13650;Inside;Sawyer;1958;1052;1920;2;1;8;451;2006;172500
20;RL;17423;CulDSac;StoneBr;2008;2216;2234;2;1;9;1166;2009;501837
30;RM;8520;Inside;OldTown;1923;968;968;1;1;5;480;2007;100000
160;FV;2117;Inside;Somerst;2000;756;1525;2;1;5;440;2007;177000
70;RL;7588;Inside;Crawfor;1920;793;1802;1;1;9;216;2006;200100
20;RL;9060;Inside;Edwards;1957;0;1340;1;1;7;252;2007;120000
50;RM;11426;Inside;OldTown;2003;1362;2082;2;1;6;484;2008;200000
50;RL;7438;Inside;BrkSide;1908;504;1252;1;1;5;576;2006;127000
75;RM;22950;Inside;OldTown;1892;1107;3608;2;1;12;840;2006;475000
80;RL;9947;CulDSac;Mitchel;1990;1188;1217;2;1;6;497;2009;173000
50;RL;10410;Inside;OldTown;1916;660;1656;2;1;8;180;2009;135000
90;RL;7018;Inside;SawyerW;1979;1086;1224;0;2;6;528;2009;153337
120;RL;4923;Inside;StoneBr;2001;1593;1593;1;1;5;682;2008;286000
70;RL;10570;Inside;Crawfor;1932;853;2727;2;1;10;440;2007;315000
60;RL;7472;CulDSac;NAmes;1972;725;1479;1;1;7;484;2007;184000
20;RL;9017;Inside;CollgCr;1999;1431;1431;2;1;6;666;2009;192000
160;RM;2522;Inside;Edwards;2004;970;1709;2;1;7;380;2006;130000
20;RL;7180;Inside;CollgCr;1972;864;864;1;1;5;352;2008;127000
160;RL;2280;FR2;NPkVill;1976;855;1456;2;1;7;440;2009;148500
20;RL;9416;Inside;Somerst;2007;1726;1726;2;1;8;786;2007;311872
75;RL;25419;Corner;NAmes;1918;1360;3112;2;1;8;795;2006;235000
75;RM;5520;Corner;OldTown;1912;755;2229;1;1;8;0;2009;104000
20;RL;9591;Inside;NridgHt;2004;1713;1713;2;1;7;856;2009;274900
20;RM;8546;Corner;Edwards;2003;1121;1121;2;1;5;440;2010;140000
20;RL;10125;Inside;Mitchel;1977;1196;1279;2;1;6;473;2008;171500
50;RL;7000;Corner;OldTown;1924;617;1310;2;1;6;398;2006;112000
120;RM;4438;Inside;CollgCr;2004;848;848;1;1;3;420;2008;149000
50;RM;3500;Inside;OldTown;1947;720;1284;1;1;5;240;2009;110000
20;RL;11851;Corner;Gilbert;1990;1424;1442;2;1;5;500;2009;180500
20;RL;13673;CulDSac;Sawyer;1962;1140;1696;1;1;8;349;2007;143900
20;RL;12493;Inside;NAmes;1960;1100;1100;1;1;6;312;2008;141000
60;RL;14364;Inside;SawyerW;1988;1157;2062;2;1;7;454;2007;277000
20;RL;8250;Inside;NAmes;1964;1092;1092;1;1;6;504;2008;145000
30;RL;5604;Inside;Edwards;1925;864;864;1;1;5;0;2008;98000
20;RL;10420;Corner;Edwards;2009;1212;1212;2;1;6;460;2010;186000
60;FV;8640;Inside;Somerst;2009;900;1852;2;1;7;644;2009;252678
20;RL;13568;CulDSac;CollgCr;1995;990;990;1;1;5;576;2006;156000
60;RL;10900;FR2;CollgCr;1977;689;1392;1;1;6;299;2010;161750
20;RL;10011;Inside;NAmes;1957;1070;1236;1;1;6;447;2006;134450
20;RL;8450;Inside;CollgCr;2004;1436;1436;2;1;8;484;2008;210000
70;RM;9906;Inside;OldTown;1925;686;1328;1;1;8;210;2006;107000
50;RL;15660;Corner;Crawfor;1939;798;1954;1;1;8;431;2008;311500
120;RL;3010;Inside;Blmngtn;2005;1248;1248;2;1;5;438;2006;167240
20;RL;8990;Inside;CollgCr;2006;1498;1498;2;1;5;675;2006;204900
60;RL;8068;Inside;Gilbert;2002;1010;2267;2;1;8;390;2009;200000
60;RL;11475;Inside;NWAmes;1975;713;1552;2;1;6;434;2006;179900
20;RL;10500;FR2;NAmes;1971;864;864;1;1;4;576;2009;97000
20;RL;13472;Inside;NridgHt;2003;2392;2392;2;1;8;968;2009;386250
160;RM;1680;Inside;BrDale;1971;630;1302;2;1;6;280;2009;112000
60;RL;9950;Inside;NoRidge;1995;1203;2520;2;1;9;721;2007;290000
160;RM;1869;Inside;BrDale;1970;483;987;1;1;5;280;2008;106000
20;RL;8521;FR2;Sawyer;1967;912;912;1;1;5;336;2010;125000
120;RL;3182;Inside;Blmngtn;2005;1373;1555;2;1;7;430;2009;192500
20;RL;8760;Inside;NAmes;1959;1194;1194;1;1;6;312;2010;148000
60;RL;15138;Inside;NoRidge;1995;1462;2794;2;1;9;810;2009;403000
160;RM;1680;Inside;BrDale;1972;483;987;1;1;5;288;2006;94500
20;RL;10650;Corner;CollgCr;1976;894;894;1;1;5;308;2010;128200
60;RL;7851;Inside;Gilbert;2002;860;1960;2;1;8;440;2010;216500
160;RM;1680;Inside;BrDale;1971;483;987;1;1;5;264;2008;89500
20;RL;8773;FR2;CollgCr;2004;1414;1414;2;1;6;494;2010;185500
60;RL;9453;CulDSac;SawyerW;1993;996;1744;2;1;7;457;2010;194500
20;RL;12030;Inside;NridgHt;2007;1694;1694;2;1;7;818;2007;318000
50;RL;8741;Inside;Edwards;1945;735;1487;1;1;7;220;2010;113000
20;FV;9000;Inside;Somerst;2008;1566;1566;2;1;7;750;2010;262500
30;RM;3880;Inside;OldTown;1945;686;866;1;1;4;0;2007;110500
50;RM;5000;Corner;OldTown;1900;540;1440;1;1;6;352;2006;79000
160;RL;10762;Corner;SawyerW;1980;626;1217;1;1;6;288;2009;120000
60;RL;8880;Inside;SawyerW;1994;948;2110;2;1;8;463;2010;205000
20;RL;10400;Inside;NWAmes;1988;1845;1872;2;1;6;604;2006;241500
190;RM;9142;Inside;OldTown;1910;1020;1928;2;2;9;440;2006;137000
20;RL;11310;Inside;NAmes;1954;1367;1375;1;1;5;451;2006;140000
60;RL;11317;Inside;CollgCr;2003;840;1668;2;1;8;500;2007;180000
50;RL;159000;CulDSac;ClearCr;1958;1444;2144;2;1;7;389;2007;277000
30;RL;5350;Inside;BrkSide;1940;728;1306;1;1;6;0;2010;76500
120;RM;4750;Inside;Crawfor;2006;1573;1625;2;1;5;538;2007;235000
60;RL;8366;Inside;SawyerW;2004;798;1640;2;1;6;520;2008;173000
80;RL;9350;Inside;NAmes;1964;1302;1302;2;1;7;309;2007;158000
20;RL;8400;Inside;NAmes;1957;1314;1314;1;1;5;294;2010;145000
60;RL;8738;Inside;Gilbert;1999;975;2291;2;1;8;429;2006;230000
60;FV;8791;Inside;Somerst;2003;864;1728;2;1;7;673;2008;207500
20;RL;8814;Inside;CollgCr;2006;1604;1604;2;1;8;660;2009;220000
60;RL;12435;Inside;CollgCr;2001;963;1792;2;1;7;564;2008;231500
20;RM;12702;Inside;OldTown;1956;0;882;1;1;4;308;2008;97000
80;RL;19296;Corner;NAmes;1962;1362;1382;1;1;6;884;2009;176000
60;RL;9588;Inside;CollgCr;2007;1482;2574;2;1;10;868;2007;276000
80;RL;8471;Corner;Sawyer;1977;506;1212;1;1;6;492;2006;151000
50;RM;5500;Corner;OldTown;1929;926;1316;1;1;6;484;2010;130000
30;RM;5232;Inside;OldTown;1925;680;764;1;1;4;504;2008;73000
20;RL;12090;Inside;NWAmes;1981;1422;1422;2;1;7;576;2008;175500
60;RL;11207;FR2;Gilbert;1997;802;1511;2;1;8;413;2006;185000
75;RL;8400;Inside;SWISU;1939;720;2192;2;1;8;240;2008;179500
30;RM;6900;Inside;IDOTRR;1940;740;778;1;1;4;924;2008;120500
20;RL;7917;Corner;Edwards;1976;1143;1113;1;1;6;504;2007;148000
60;FV;10728;Inside;Somerst;2006;1095;1939;2;1;8;1053;2006;266000
20;RL;39104;CulDSac;ClearCr;1954;1385;1363;1;1;5;439;2008;241500
60;RL;11764;CulDSac;NoRidge;1999;1152;2270;2;1;9;671;2010;290000
20;RL;9600;Inside;NAmes;1958;1240;1632;2;1;6;338;2009;139000
20;RL;8314;Corner;Mitchel;1982;816;816;1;1;5;264;2007;124500
50;RL;7264;Inside;BrkSide;1925;952;1548;2;1;5;672;2009;205000
20;RL;9196;Inside;Mitchel;2003;1560;1560;2;1;7;573;2010;201000
20;RL;19138;Corner;Gilbert;1951;864;864;1;1;4;400;2010;141000
20;RL;14450;Inside;NridgHt;2006;2121;2121;2;1;8;732;2007;415298
60;RL;10005;Inside;ClearCr;1977;1160;2022;2;1;8;505;2008;192000
60;RL;11287;Inside;SawyerW;1989;807;1982;2;1;7;575;2007;228500
20;FV;7200;Inside;Somerst;2006;1262;1262;2;1;5;572;2006;185000
120;RL;5063;Inside;NridgHt;2007;1314;1314;2;1;6;626;2009;207500
20;RL;9612;Inside;Somerst;2008;1468;1468;2;1;6;898;2009;244600
120;RL;8012;Inside;SawyerW;1992;1575;1575;2;1;5;529;2007;179200
160;FV;4251;Inside;Somerst;2006;625;1250;2;1;5;528;2007;164700
50;RL;9786;Inside;NAmes;1962;912;1734;1;1;7;440;2006;159000
20;RL;8125;Corner;NAmes;1971;858;858;1;1;5;0;2006;88000
20;RL;9819;Inside;Sawyer;1967;882;900;1;1;5;280;2010;122000
70;RL;8730;Inside;BrkSide;1915;698;1396;1;1;7;384;2007;153575
60;RL;15611;Inside;CollgCr;2006;1079;1919;2;1;8;685;2006;233230
190;RL;5687;Inside;SWISU;1912;780;1716;2;1;9;0;2008;135900
50;RL;11409;Inside;Edwards;1949;768;1716;1;1;8;281;2009;131000
60;RL;16659;Corner;NWAmes;1977;795;2263;2;1;9;539;2006;235000
20;RL;9600;Inside;NAmes;1953;1416;1644;1;1;7;418;2009;167000
80;RL;7937;CulDSac;Mitchel;1984;1003;1003;1;1;6;588;2006;142500
50;RM;13710;Inside;IDOTRR;1950;910;1558;1;1;6;282;2007;152000
60;FV;7399;Inside;Somerst;1997;975;1950;2;1;7;576;2007;239000
60;RL;11700;Inside;NWAmes;1968;702;1743;1;1;7;539;2007;175000
20;RL;14000;Inside;Crawfor;1950;1092;1152;1;1;6;300;2009;158500
190;RL;15750;Corner;Crawfor;1953;1165;1336;1;1;5;375;2006;157000
60;RL;16226;Inside;CollgCr;1998;1028;2452;2;1;9;683;2007;267000
20;RL;13704;Corner;CollgCr;2001;1541;1541;2;1;6;843;2006;205000
20;RL;9800;Corner;CollgCr;1972;894;894;1;1;5;552;2006;149900
75;RM;18386;Inside;OldTown;1880;1470;3493;3;1;10;870;2008;295000
20;RL;10386;Inside;CollgCr;2004;2000;2000;2;1;8;888;2007;305900
60;RL;13474;Inside;SawyerW;1990;700;2243;2;1;8;746;2007;225000
50;RM;7920;Inside;IDOTRR;1920;319;1406;1;1;6;0;2008;89500
30;RL;12342;Inside;Edwards;1940;861;861;1;1;4;539;2009;82500
20;RL;12378;Inside;NridgHt;2003;1896;1944;2;1;8;708;2006;360000
60;RL;7685;Inside;Gilbert;1993;697;1501;2;1;6;420;2006;165600
20;RL;8000;Inside;NAmes;1948;972;972;1;1;5;240;2009;132000
190;RM;7800;Inside;OldTown;1939;793;1118;1;1;5;410;2006;119900
20;RL;215245;Inside;Timber;1965;2136;2036;2;1;8;513;2009;375000
70;RM;9600;Inside;OldTown;1925;728;1641;1;1;6;546;2006;178000
60;RL;7795;Inside;Gilbert;2004;716;1432;2;1;6;432;2009;188500
60;RL;13005;Corner;NWAmes;1980;845;2353;2;1;10;484;2009;260000
60;FV;9000;Inside;Somerst;2006;1088;1959;2;1;8;1025;2007;270000
60;RL;9900;Inside;NoRidge;1993;1347;2646;2;1;9;656;2009;260000
80;RL;14115;Inside;NWAmes;1980;1372;1472;2;1;6;588;2009;187500
60;RL;16259;Corner;NridgHt;2006;1249;2596;3;1;9;840;2006;342643
60;RL;12099;Inside;NridgHt;2004;1136;2468;2;1;10;872;2007;354000
60;RL;10380;Inside;SawyerW;1986;1502;2730;2;1;8;576;2007;301000
20;RM;5820;Inside;OldTown;1955;1162;1163;1;1;6;220;2006;126175
80;RL;11275;Corner;NAmes;1967;710;2978;2;1;11;564;2010;242000
45;RM;5000;Inside;IDOTRR;1941;720;803;1;1;5;360;2007;87000
120;RL;10846;CulDSac;Veenker;1993;1719;1719;1;1;6;473;2008;324000
20;RL;11600;Inside;NAmes;1960;1383;1383;1;1;7;292;2006;145250
75;RL;11888;Inside;BrkSide;1916;844;2134;2;1;10;441;2009;214500
70;RM;6402;Corner;IDOTRR;1920;596;1192;1;1;6;189;2009;78000
90;RL;10624;Inside;NAmes;1964;1728;1728;2;2;10;352;2007;119000
20;RL;8176;Inside;NAmes;1958;1056;1056;1;1;6;308;2007;139000
20;RL;10655;Inside;NridgHt;2003;3206;1629;2;1;7;880;2009;284000
120;RM;8198;FR3;NridgHt;2004;1358;1358;2;1;6;484;2008;207000
60;RL;9042;Inside;Gilbert;1998;943;1638;2;1;7;472;2008;192000
190;RL;164660;Corner;Timber;1965;1499;1786;2;1;7;529;2008;228950
20;RL;14157;Corner;StoneBr;2005;1922;1922;2;1;8;676;2007;377426
20;RL;9135;Inside;CollgCr;2002;1536;1536;2;1;7;532;2008;214000
20;RL;14145;Corner;NWAmes;1984;1208;1621;2;1;8;440;2006;202500
20;RL;12400;Inside;NAmes;1958;1215;1215;1;1;6;297;2009;155000
60;RL;14191;Inside;Timber;2002;967;1908;2;1;9;431;2010;202900
20;RH;8400;Inside;SawyerW;1950;721;841;1;1;4;294;2009;82000
90;RL;8544;Inside;NAmes;1949;0;1040;2;2;6;400;2006;87500
